id,last_scraped,neighbourhood,neighbourhood_cleansed,city,country,latitude,longitude,price,bathrooms,bedrooms,beds,bed_type,guests_included
31577174,2019-02-11,,房山区,Fangshan Qu,China,39.75285314970786,116.21249811638796,290.0,1.0,1.0,1.0,Real Bed,2
31577406,2019-02-11,Dahongmen,丰台区 / Fengtai,Beijing,China,39.85671793957718,116.3977435360316,600.0,1.0,2.0,2.0,Real Bed,1
31577452,2019-02-11,Xuanwu,西城区,Xicheng Qu,China,39.90534142881255,116.38540979427128,600.0,1.0,1.0,1.0,Real Bed,1
31577644,2019-02-11,Dahongmen,丰台区 / Fengtai,Beijing,China,39.85517038059753,116.39582518797792,499.0,1.0,1.0,1.0,Real Bed,1
31578000,2019-02-11,Dahongmen,丰台区 / Fengtai,Beijing,China,39.8571239169254,116.39579550394063,499.0,1.0,1.0,1.0,Real Bed,1
31578357,2019-02-11,Dahongmen,丰台区 / Fengtai,Beijing,China,39.85383300420487,116.39640174970486,499.0,1.0,1.0,1.0,Real Bed,1
31578476,2019-02-11,Dahongmen,丰台区 / Fengtai,Beijing,China,39.85597682316129,116.39641274642112,499.0,1.0,0.0,1.0,Real Bed,1
31578645,2019-02-11,,昌平区,Changping Qu,China,40.11595873298067,116.40798729833396,250.0,1.0,2.0,2.0,Real Bed,1
31578737,2019-02-11,Xuanwu,西城区,Xicheng Qu,China,39.90442063850038,116.38528755695746,600.0,1.0,1.0,1.0,Real Bed,1
31578740,2019-02-11,Zhongguancun,海淀区,Haidian Qu,China,39.976402448441576,116.312360158698,486.0,1.0,1.0,1.0,Real Bed,1
31578979,2019-02-11,Dahongmen,丰台区 / Fengtai,Beijing,China,39.854423451692064,116.397533049312,499.0,1.0,1.0,1.0,Real Bed,1
31579147,2019-02-11,Ahn Jung,东城区,北京,China,39.95832579796378,116.40634170560168,202.0,1.0,1.0,1.0,Real Bed,1
31579190,2019-02-11,Dahongmen,丰台区 / Fengtai,Beijing,China,39.85461549045584,116.39707344618516,499.0,1.0,1.0,2.0,Real Bed,1
31579489,2019-02-11,Shichahai,东城区,东城区,China,39.936837515299175,116.39977853267706,1079.0,2.0,2.0,8.0,Real Bed,4
31579696,2019-02-11,Zhuang,朝阳区 / Chaoyang,北京,China,39.91000069063199,116.55554078070033,337.0,1.0,2.0,2.0,Real Bed,1
31581399,2019-02-11,Sanlitun,朝阳区 / Chaoyang,Beijing,China,39.93540234293334,116.44503154793044,492.0,2.0,1.0,1.0,Real Bed,1
31581755,2019-02-11,Shuangyushu,海淀区,Haidian Qu,China,39.96792214298674,116.34947085673764,236.0,1.0,1.0,1.0,Real Bed,1
31582007,2019-02-11,Ahn Jung,西城区,Xicheng Qu,China,39.96865172201139,116.38733009408767,135.0,1.0,1.0,1.0,Real Bed,1
31582708,2019-02-11,Xuanwu,西城区,Xicheng Qu,China,39.90644783867747,116.38571017354124,600.0,1.0,1.0,2.0,Real Bed,1
31582977,2019-02-11,Ahn Jung,西城区,西城区,China,39.95344684331607,116.38154604776724,243.0,1.0,1.0,1.0,Real Bed,1
31583194,2019-02-11,Ahn Jung,西城区,西城区,China,39.9543016842747,116.38080684391797,101.0,1.0,1.0,1.0,Real Bed,1
31583506,2019-02-11,Dongcheng,东城区,Dongcheng Qu,China,39.92635359423778,116.4016331502754,600.0,1.0,2.0,2.0,Real Bed,1
31585648,2019-02-11,Wangfujing/Dongdan,东城区,Beijing,China,39.91131548592189,116.42029465890413,991.0,1.0,1.0,1.0,Real Bed,2
31586481,2019-02-11,Qianmen,西城区,Xicheng Qu,China,39.893583316975445,116.39011396109822,88.0,1.0,1.0,1.0,Real Bed,1
31588145,2019-02-11,Qianmen,西城区,Xicheng Qu,China,39.89231396476054,116.39055145411724,88.0,1.0,1.0,1.0,Real Bed,1
31596085,2019-02-11,Yue Tan,西城区,Beijing,China,39.92282546366049,116.35630148939192,344.0,1.0,2.0,2.0,Real Bed,1
31596870,2019-02-11,Haidian,西城区,北京市,China,39.93694035877575,116.33215494684192,236.0,1.0,1.0,2.0,Real Bed,2
31597771,2019-02-11,Sanlitun,朝阳区 / Chaoyang,Chaoyang Qu,China,39.94717200296238,116.44409153141468,101.0,1.0,1.0,1.0,Real Bed,1
31598085,2019-02-11,Haidian,西城区,北京市,China,39.93559404136382,116.33203890026977,236.0,1.0,1.0,1.0,Real Bed,1
31598367,2019-02-11,Wangjing,朝阳区 / Chaoyang,Chaoyang,China,39.98697075092932,116.46277759466022,297.0,1.0,2.0,2.0,Real Bed,1
31598420,2019-02-11,,顺义区 / Shunyi,Shunyi Qu,China,40.13224993443884,116.66763618833616,108.0,2.0,3.0,3.0,Real Bed,1
31598467,2019-02-11,Third Road Jucun/Liucun,西城区,Xicheng,China,39.87979644742465,116.3409323644886,108.0,1.0,1.0,2.0,Real Bed,1
31598786,2019-02-11,Zhuang,朝阳区 / Chaoyang,Chaoyang Qu,China,39.91742199064549,116.55660836675418,668.0,1.0,3.0,4.0,Real Bed,1
31599351,2019-02-11,,顺义区 / Shunyi,Shunyi Qu,China,40.10681628210448,116.63248841638833,391.0,2.0,3.0,3.0,Real Bed,1
31599372,2019-02-11,Chaoyang,朝阳区 / Chaoyang,Chaoyang Qu,China,39.96330164641905,116.4987247395564,398.0,1.0,0.0,1.0,Real Bed,1
31599817,2019-02-11,Zhongguancun,海淀区,Haidian Qu,China,39.96530236996465,116.30805899636906,560.0,1.0,2.0,2.0,Real Bed,1
31599933,2019-02-11,,房山区,北京市,China,39.72346621890837,116.17117238808582,270.0,1.0,0.0,1.0,Real Bed,1
31599935,2019-02-11,Third Road Jucun/Liucun,丰台区 / Fengtai,Fengtai Qu,China,39.851470290783446,116.3335150130714,317.0,1.0,1.0,2.0,Real Bed,1
